season,episode_number,title,airdate,rating,total_votes,description,episode
4,09,Wiedersehen,2018-10-01,9.1,9249,Jimmy attends his reinstatement hearing at the Bar Association; Nacho is forced to make the rounds with Lalo; Mike has cause to worry.,"S4, Ep09"
4,10,Winner,2018-10-08,9.5,13721,Lalo tails Mike as he attempts to track down Werner; Jimmy and Kim invoke the memory of Chuck for the Bar Association appeal hearing.,"S4, Ep10"
5,01,Magic Man,2020-02-23,8.7,10637,"Lalo searches for the mysterious Michael. Now doing business as Saul Goodman, Jimmy unveils an unorthodox strategy that tests Kim's tolerance.","S5, Ep01"
5,02,50% Off,2020-02-24,8.7,10051,"Jimmy's promotional stunt has unintended consequences. Nacho takes extreme measures to earn Lalo's trust. Saul is a success at the courthouse, but still has yet to win Kim over. Simmering with rage and self-loathing, Mike loses his temper.","S5, Ep02"
5,03,The Guy for This,2020-03-02,9.0,10514,Jimmy's business enters uncharted territory. Kim's confidence is tested when she's faced with a legal problem only she can solve. Nacho navigates increased pressure from Gus. Mike continues to spiral.,"S5, Ep03"
5,04,Namaste,2020-03-09,8.6,9381,"As Jimmy doubles down on ""Saul Goodman"", a deeply conflicted Kim brings him an interesting proposition. Gus makes a sacrifice in order to play the long game. Mike attempts to smooth things over with his family.","S5, Ep04"
5,05,Dedicado a Max,2020-03-16,8.6,9541,"As she and Jimmy grow closer over their campaign to help a client, Kim makes a surprising call; Mike is restless during his out-of-town recuperation.","S5, Ep05"
5,06,Wexler v. Goodman,2020-03-23,9.3,12206,"Kim has a change of heart, but Saul is determined to stick it to Mesa Verde; Mike turns the heat up on Lalo; Nacho attempts to enlist support from above.","S5, Ep06"
5,07,JMM,2020-03-30,9.0,10946,Jimmy and Kim build a legal firewall with help from Huell; Kim sets things straight with her clients as Jimmy is compromised by his; Gus calms troubled waters in service of his plot to build an empire; Mike does damage control.,"S5, Ep07"
5,08,Bagman,2020-04-06,9.7,21158,"When a simple errand for a client goes sideways, Jimmy is pushed to the limit; Mike takes measures to contain the wrath of the cartel; Lalo gets an unexpected visitor.","S5, Ep08"
5,09,Bad Choice Road,2020-04-13,9.7,21148,"In the wake of Jimmy's traumatic misadventure, Kim takes stock of what is important; Jimmy attempts to return to business as usual, but it's more difficult than anticipated; Gus and Mike set a plan in motion.","S5, Ep09"
5,10,Something Unforgivable,2020-04-20,9.3,14751,Jimmy and Kim make a sideways move that takes a serious turn; Nacho gets closer to the cartel than he'd like.,"S5, Ep10"
6,01,Wine and Roses,2022-04-18,8.8,15044,Nacho runs for his life. Saul and Kim hatch a plan to mess with Howard. Mike questions his allegiances.,"S6, Ep01"
6,02,Carrot and Stick,2022-04-18,9.1,15102,Kim and Saul enlist some familiar faces in their scheme to get Howard. Harsh realities dawn on Nacho. Gus investigates his suspicions.,"S6, Ep02"
6,03,Rock and Hard Place,2022-04-25,9.7,24834,"Still on the run, Nacho is forced to choose where his loyalties lie. Saul must decide whether he wants to remain a ""friend of the cartel"" after his reputation is called into question. Gus and Mike ready the team for a meet.","S6, Ep03"
6,04,Hit and Run,2022-05-02,8.6,13134,"Despite assurances from the cartel, Gus takes extreme measures to protect himself against looming threats. Kim and Saul enlist the help of a local pro to put on a show for Cliff Main. Howard seeks outside counsel.","S6, Ep04"
6,05,Black and Blue,2022-05-09,8.1,12640,"While business booms for Jimmy, the vise tightens on the cat-and-mouse game between Gus and Lalo.","S6, Ep05"
6,06,Axe and Grind,2022-05-16,8.2,12261,Kim and Jimmy enlist a knowledgeable contact; Howard scrutinizes Jimmy's business practices.,"S6, Ep06"
6,07,Plan and Execution,2022-05-23,9.9,41533,Jimmy and Kim deal with a last-minute snag in their plan; Lalo is forced to make an unexpected move.,"S6, Ep07"
6,08,Point and Shoot,2022-07-11,9.8,30014,An unexpected visitor forces Jimmy and Kim to face the consequences of their actions.,"S6, Ep08"
6,09,Fun and Games,2022-07-18,9.4,19500,Gus attempts to smooth things over with the cartel while Mike ties up loose ends as Jimmy and Kim deal with the repercussions of their actions.,"S6, Ep09"
6,10,Nippy,2022-07-25,8.6,18915,A lost dog leads to a new friend. A new player gets in the game.,"S6, Ep10"
6,11,Breaking Bad,2022-08-01,9.1,20198,The partners escalate their enterprise to new levels.,"S6, Ep11"
6,12,Waterworks,2022-08-08,9.5,21510,The stakes are raised when a discovery is made that will send shockwaves far and wide.,"S6, Ep12"
6,13,Saul Gone,2022-08-15,9.8,42317,"Six years before he meets Walter White, small-time lawyer Jimmy McGill transforms into his alias, Saul Goodman -- a man who puts the ""criminal"" in ""criminal lawyer"" -- and searches for his destiny, hustling to make a name for himself.","S6, Ep13"
